periodo,anio,trimestre,ambito,indicador,valor,unidad
2025,2025,,España,Percentage. Above 60%. From 15 to 24 years. Females,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 15 to 24 years. Males,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 15 to 24 years. Total,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 15 to 29 years. Females,2.2,Percentage
2025,2025,,España,Percentage. Above 60%. From 15 to 29 years. Males,2.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 15 to 29 years. Total,2.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 16 to 19 years. Females,1.0,Percentage
2025,2025,,España,Percentage. Above 60%. From 16 to 19 years. Males,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 16 to 19 years. Total,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 16 to 24 years. Females,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 16 to 24 years. Males,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 16 to 24 years. Total,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 16 to 29 years. Females,2.2,Percentage
2025,2025,,España,Percentage. Above 60%. From 16 to 29 years. Males,2.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 16 to 29 years. Total,2.2,Percentage
2025,2025,,España,Percentage. Above 60%. From 18 to 24 years. Females,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 18 to 24 years. Males,1.0,Percentage
2025,2025,,España,Percentage. Above 60%. From 18 to 24 years. Total,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 18 to 64 years. Females,2.7,Percentage
2025,2025,,España,Percentage. Above 60%. From 18 to 64 years. Males,2.4,Percentage
2025,2025,,España,Percentage. Above 60%. From 18 to 64 years. Total,2.6,Percentage
2025,2025,,España,Percentage. Above 60%. From 20 to 24 years. Females,1.2,Percentage
2025,2025,,España,Percentage. Above 60%. From 20 to 24 years. Males,1.2,Percentage
2025,2025,,España,Percentage. Above 60%. From 20 to 24 years. Total,1.2,Percentage
2025,2025,,España,Percentage. Above 60%. From 20 to 29 years. Females,2.7,Percentage
